"[Code]|[Description]|[IndustryID]|[Name]|[OKVEDID]|[ParentCode]|[ParentOKVEDID]" 
01.12.31|-|41|Выращивание грибов и грибницы (мицелия)|17|01.12|13
01.12.32|-|41|Сбор лесных грибов и трюфелей|18|01.12|13
01.13|-|41|Выращивание фруктов, орехов, культур для производства напитков и пряностей|19|01.1|3
01.13.1|Эта группировка включает: - выращивание винограда на вино и столового винограда - производство вина из винограда, выращенного данным хозяйством - выращивание посадочного материала виноградных насаждений Эта группировка не включает: - производство вина из винограда, выращенного не данным хозяйством, см. 15.93|41|Выращивание винограда|20|01.13|19
01.13.2|-|41|Выращивание прочих фруктов и орехов|21|01.13|19
01.13.21|Эта группировка включает: - выращивание яблок, слив, вишни, цитрусовых, абрикосов, персиков, смородины, малины, крыжовника, земляники (клубники) и других плодовых культур|41|Выращивание плодовых и ягодных культур|22|01.13|19
01.13.22|-|41|Выращивание орехов|23|01.13|19
01.13.23|-|41|Выращивание посадочного материала плодовых насаждений|24|01.13|19
01.13.24|-|41|Сбор дикорастущих плодов, ягод и орехов|25|01.13|19
01.13.3|Эта группировка включает: - выращивание чая - производство зеленого чайного листа (неферментированного), черного чайного листа (ферментированного) и частично ферментированного чайного листа Эта группировка не включает: - выращивание хмеля - обработку чайного листа, см. 15.86|41|Выращивание культур для производства напитков|26|01.13|19
01.13.4|Эта группировка включает: - выращивание сельскохозяйственных культур для производства пряностей: лаврового листа, базилика, кориандра, аниса, тмина и т.п.|41|Выращивание культур для производства пряностей|27|01.13|19
01.2|Эта группировка не включает: - предоставление услуг по содержанию животных и уходу за ними, см.01.42 - производство щипаной шерсти, см. 15.11.2|41|Животноводство|28|01|2
01.21|Эта группировка включает: - разведение мясного и молочного крупного рогатого скота - разведение племенного крупного рогатого скота - производство сырого коровьего молока и сырого молока прочего крупного рогатого скота - производство бычьей спермы Эта группировка не включает: - переработку коровьего молока за пределами фермы, см. 15.51|41|Разведение крупного рогатого скота|29|01.2|28
01.22|-|41|Разведение овец, коз, лошадей, ослов, мулов и лошаков|30|01.2|28
01.22.1|Эта группировка включает: - разведение овец и коз - разведение племенных овец и коз - производство сырого овечьего и козьего молока - производство сырой (немытой) шерсти и пуха - производство спермы баранов и козлов Эта группировка не включает: - переработку козьего молока за пределами фермы, см. 15.51 - предоставление услуг по стрижке овец, см. 01.42|41|Разведение овец и коз|31|01.22|30
01.22.2|Эта группировка включает: - разведение лошадей, ослов, мулов и лошаков - разведение племенных лошадей и ослов - производство сырого кобыльего молока - производство спермы жеребцов и ослов Эта группировка не включает: - производство щипаной шерсти, см. 15.11.2 - переработку кобыльего молока за пределами фермы, см. 15.51 - деятельность конюшен для содержания скаковых и беговых лошадей и школ верховой езды, см. 92.62|41|Разведение лошадей, ослов, мулов и лошаков|32|01.22|30
01.23|Эта группировка включает: - разведение свиней, в том числе племенных животных - производство спермы хряков|41|Разведение свиней|33|01.2|28
01.24|Эта группировка включает: - разведение сельскохозяйственной птицы (индеек, уток, кур, гусей, цесарок) на мясо, племенной птицы и молодняка - производство куриных яиц и яиц прочей сельскохозяйственной птицы Эта группировка не включает: - разведение прочей птицы, см. 01.25.9 - производство пера и пуха, см. 15.12.2|41|Разведение сельскохозяйственной птицы|34|01.2|28
01.25|-|41|Разведение прочих животных|35|01.2|28
01.25.1|Эта группировка включает: - разведение пчел - производство пчелиного меда и пчелиного воска|41|Разведение пчел|36|01.25|35
01.25.2|Эта группировка включает: - производство пушно - мехового сырья Эта группировка не включает: - производство шкур и кож, получаемых в результате охоты или ловли животных, см. 01.50|41|Разведение кроликов и пушных зверей в условиях фермы|37|01.25|35
01.25.3|Эта группировка включает: - производство коконов шелкопряда|41|Разведение шелкопряда|38|01.25|35
01.25.4|Эта группировка включает: - производство сырых и консервированных пантов|41|Разведение оленей|39|01.25|35
01.25.5|Эта группировка включает: - производство сырого верблюжьего молока|41|Разведение верблюдов|40|01.25|35
01.25.6|Эта группировка не включает: - дрессировку сторожевых собак, см. 74.60 - дрессировку домашних животных, см. 92.72|41|Разведение домашних животных|41|01.25|35
01.25.7|-|41|Разведение лабораторных животных|42|01.25|35
01.25.8|-|41|Разведение водных пресмыкающихся и лягушек в водоемах, разведение дождевых (калифорнийских) червей|43|01.25|35
01.25.81|Эта группировка включает: - разведение водных пресмыкающихся и лягушек в водоемах - разведение улиток - производство продукции разведения лягушек и улиток|41|Разведение водных пресмыкающихся и лягушек в водоемах|44|01.25|35
01.25.82|-|41|Разведение дождевых (калифорнийских) червей|45|01.25|35
01.25.9|-|41|Разведение прочих животных, не включенных в другие группировки|46|01.25|35
01.3|-|41|Растениеводство в сочетании с животноводством (смешанное сельское хозяйство)|47|01|2
01.30|Эта группировка включает: - растениеводство в сочетании с животноводством при установленном коэффициенте специализации в одной области Эта группировка не включает: - смешанные растениеводческие и смешанные животноводческие хозяйства, см. их основной вид деятельности|41|Растениеводство в сочетании с животноводством (смешанное сельское хозяйство)|48|01.3|47
01.4|-|41|Предоставление услуг в области растениеводства и животноводства, кроме ветеринарных услуг|49|01|2
01.41|-|41|Предоставление услуг в области растениеводства|50|01.4|49
01.41.1|Эта группировка включает: - предоставление услуг, связанных с выращиванием сельскохозяйственных культур, в том числе: - подготовку полей - посев, возделывание и выращивание сельскохозяйственных культур - обработку ядохимикатами семян, сельскохозяйственных культур и угодий, в том числе с воздуха - обрезку фруктовых деревьев и виноградной лозы - пересаживание риса, рассаживание свеклы - очистку хлопка от семян - уборку урожая и подготовку сельскохозяйственных культур к сбыту на рынке - предоставление услуг по проверке и подготовке семян, включая сушку, очистку, сортировку, протравливание и т.д. - предоставление прочих услуг, относящихся к выращиванию сельскохозяйственных культур Эта группировка также включает: - предоставление услуг по защите растений от болезней и вредителей - предоставление сельскохозяйственных машин вместе с экипажем и оператором Эта группировка не включает: - подготовку растительных волокон к прядению, см. 17.1 - сбыт через комиссионеров и кооперативные организации, см. 51 - деятельность агрономов и экономистов в области сельского хозяйства, см. 74.14 - организацию сельскохозяйственных ярмарок и выставок, см. 74.84 - ремонт сельскохозяйственной техники, см. 29.32.9|41|Предоставление услуг, связанных с производством сельскохозяйственных культур|51|01.41|50
01.41.2|Эта группировка включает: - предоставление услуг по закладке и содержанию декоративных садов и парков отдыха и развлечений, зеленых насаждений на спортивных площадках, кладбищах и т.п. - предоставление услуг по обрезке деревьев и живых изгородей Эта группировка не включает: - предоставление услуг в области ландшафтной архитектуры, а также по проектированию спортивных сооружений, см. 74.20.11|41|Предоставление услуг по закладке, обработке и содержанию садов, парков и других зеленых насаждений|52|01.41|50
01.41.3|-|41|Предоставление услуг по эксплуатации мелиоративных систем|53|01.41|50
01.42|Эта группировка включает предоставление услуг: - по искусственному осеменению животных - по обследованию состояния стада, перегонке скота, выпасу скота, выхолащиванию сельскохозяйственной птицы, чистке курятников и т.п. - по стимулированию разведения, прироста и продуктивности животных - по содержанию животных и уходу за ними - по стрижке овец - по сортировке яиц Эта группировка не включает: - предоставление услуг по откорму скота, см. 01.2 - предоставление услуг по развитию охоты, включая ловлю животных, в коммерческих целях, см. 01.50 - сбыт через комиссионеров и кооперативные организации, см. 51 - предоставление услуг агрономами и экономистами в области сельского хозяйства, см. 74.14 - предоставление ветеринарных услуг, см. 85.2|41|Предоставление услуг в области животноводства, кроме ветеринарных услуг|54|01.4|49
01.5|-|41|Охота и разведение диких животных, включая предоставление услуг в этих областях|55|01|2
01.50|Эта группировка включает: - охоту, включая ловлю животных, для получения продуктов питания, шкур, кожи или для использования в исследовательских целях, в зоопарках или в качестве домашних животных - производство пушнины, кожи пресмыкающихся и шкурок птиц в результате охоты, в том числе ловли животных - разведение диких животных - предоставление услуг по развитию охоты, в том числе ловли животных, в коммерческих целях Эта группировка также включает: - добычу морских млекопитающих (моржей, тюленей и т.п.) Эта группировка не включает: - производство пушнины, кожи пресмыкающихся и шкурок птиц в результате разведения животных на фермах, см. 01.25 - разведение животных на фермах, кроме диких животных с целью сохранения вида, см. 01.25 - добычу китов, см. 05.01.1 - производство шкур и кож на бойнях, см. 15.11.2 - спортивно - любительскую охоту, см. 92.62|41|Охота и разведение диких животных, включая предоставление услуг в этих областях|56|01.5|55
02|-||Лесное хозяйство и предоставление услуг в этой области|57|РАЗДЕЛ Q|1874
02.0|-|41|Лесное хозяйство и предоставление услуг в этой области|58|02|57
02.01|-|30|Лесоводство и лесозаготовки|59|02.0|58
02.01.1|Эта группировка включает: - заготовку и первичную переработку лесоматериалов хвойных и лиственных пород: - валку леса - раскряжевку хлыстов на сортименты - заготовку сортиментов - заготовку деревьев с кроной - производство топливной древесины Эта группировка не включает: - производство древесной щепы, см. 20.10.2|30|Лесозаготовки|60|02.01|59
02.01.2|Эта группировка включает: - сбор смол, растительных соков, трав, мхов и лишайников, используемых для декоративных целей, сбор дикорастущих лубяных и других растений, используемых для плетения, набивки, окрашивания или дубления - сбор семян для выращивания дикорастущих растений Эта группировка не включает: - выращивание и сбор грибов и трюфелей, см. 01.12.3 - сбор ягод и орехов, см. 01.13.24|30|Сбор дикорастущих и недревесных лесопродуктов|61|02.01|59
02.01.5|Эта группировка включает: - выращивание леса: выращивание, посадку, подсадку, пересадку саженцев, прореживание и охрану лесов и лесосек - выращивание молодого порослевого леса и деловой древесины - выращивание новогодних елок - выращивание растительных материалов, используемых для плетения - выращивание сеянцев деревьев и кустарников|30|Лесоводство|62|02.01|59
02.01.6|-|30|Деятельность лесопитомников|63|02.01|59
02.01.61|-|30|Выращивание сеянцев, деревьев и кустарников|64|02.01|59
02.01.69|-|30|Выращивание прочей продукции питомников|65|02.01|59
02.02|-|41|Предоставление услуг в области лесоводства и лесозаготовок|66|02.0|58
02.02.1|Эта группировка включает: - предоставление услуг по таксации леса, оценке леса (в аспекте промышленного использования) - предоставление услуг по защите леса от вредителей и болезней - предоставление услуг по защите леса от пожара и авиационной охране лесов, включая тушение лесных пожаров с воздуха - предоставление услуг по лесомелиорации - предоставление услуг лесоустроительными предприятиями, контрольными станциями лесных семян, лесными, почвенными и нормативно - исследовательскими станциями и лабораториями|41|Предоставление услуг в области лесоводства|67|02.02|66
02.02.2|Эта группировка включает: - предоставление услуг по транспортированию бревен в пределах леса и др.|41|Предоставление услуг в области лесозаготовок|68|02.02|66
РАЗДЕЛ B|-||РЫБОЛОВСТВО, РЫБОВОДСТВО|69||
05|-|41|Рыболовство, рыбоводство и предоставление услуг в этих областях|70|РАЗДЕЛ Q|1874
05.0|-|41|Рыболовство, рыбоводство и предоставление услуг в этих областях|71|05|70
05.01|-|41|Рыболовство|72|05.0|71
05.01.1|Эта группировка включает: - рыболовство в открытых районах Мирового океана и внутренних морских водах - добычу китов - добычу морских ракообразных и моллюсков - добычу морских черепах, асцидий и других оболочников, морских ежей и т.п. Эта группировка также включает: - добычу морских губок, кораллов и морских водорослей - сбор раковин и панцирей моллюсков, ракообразных и иглокожих и т.п. - добычу природного и культивированного жемчуга - переработку рыбы, ракообразных и моллюсков на борту рыболовных судов Эта группировка не включает: - добычу морских млекопитающих, кроме китов, например моржей, тюленей, см. 01.50 - спортивно - любительское рыболовство и предоставление услуг в этой области, см. 92.72 - переработку рыбы, не связанную с рыболовством, т.е. на судах, не осуществляющих непосредственно лов рыбы, или на рыбозаводах, расположенных на берегу, см. 15.20|41|Рыболовство в открытых районах Мирового океана и внутренних морских водах|73|05.01|72
05.01.11|-|41|Вылов рыбы и водных биоресурсов в открытых районах Мирового океана и внутренних морских водах сельскохозяйственными товаропроизводителями|74|05.01|72
05.01.12|-|41|Вылов рыбы и водных биоресурсов в открытых районах Мирового океана и внутренних морских водах несельскохозяйственными товаропроизводителями|75|05.01|72
05.01.2|Эта группировка включает: - рыболовство в реках, озерах, водохранилищах и прудах - добычу пресноводных ракообразных и моллюсков - сбор раковин и панцирей пресноводных моллюсков и ракообразных Эта группировка не включает: - спортивно - любительское рыболовство и предоставление услуг в этой области, см. 92.72|41|Рыболовство в реках, озерах, водохранилищах и прудах|76|05.01|72
05.01.21|-|41|Вылов рыбы и водных биоресурсов в реках, озерах, водохранилищах и прудах сельскохозяйственными товаропроизводителями|77|05.01|72
05.01.22|-|41|Вылов рыбы и водных биоресурсов в реках, озерах, водохранилищах и прудах несельскохозяйственными товаропроизводителями|78|05.01|72
05.01.3|Эта группировка включает: - предоставление услуг по аэрорыбразведке - предоставление услуг по рыбоохране и рыбнадзору - предоставление услуг по регулированию вылова рыбы|41|Предоставление услуг в области рыболовства|79|05.01|72
05.02|-|41|Рыбоводство|80|05.0|71
05.02.1|Эта группировка включает: - разведение устричной молоди, мидий, молоди омаров, лангустов, креветок, крабов, мальков рыб - селекцию, выращивание и содержание устриц для употребления в пищу - селекцию, выращивание и содержание моллюсков (жемчужниц) для получения жемчуга - выращивание красных водорослей и других съедобных морских водорослей - морское и пресноводное рыбоводство Эта группировка не включает: - разведение лягушек, см. 01.25.81 - деятельность заказников для спортивного рыболовства, см. 92.72|41|Воспроизводство рыбы и водных биоресурсов|81|05.02|80
05.02.11|-|41|Воспроизводство рыбы и водных биоресурсов сельскохозяйственными товаропроизводителями|82|05.02|80
05.02.12|-|41|Воспроизводство рыбы и водных биоресурсов несельскохозяйственными товаропроизводителями|83|05.02|80
05.02.2|-|41|Предоставление услуг, связанных с воспроизводством рыбы и водных биоресурсов|84|05.02|80
РАЗДЕЛ C|-||ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ Раздел включает добычу полезных ископаемых, встречающихся в природе в виде твердых пород (угля и руды), в жидком состоянии (нефти) или в газообразном состоянии (природного газа). Добыча полезных ископаемых может осуществляться способами подземной и открытой разработки месторождений, а также путем эксплуатации скважин. Раздел включает процессы, связанные с подготовкой сырья к реализации (дробление угля, разделение угля по крупности: классификацию и грохочение, обезвоживание и обессоливание нефти). Добыча полезных ископаемых классифицируется в разделах, группах и классах по виду основного полезного ископаемого Этот раздел также включает: - обогащение и агломерацию угля и руд Этот раздел не включает: - розлив по бутылкам природных минеральных вод из источников и скважин, см. 15.98.1 - дробление, измельчение и другие виды обработки некоторых грунтов, горных пород и минералов, не связанные с операциями по добыче полезных ископаемых подземным и открытым способами, см. 26.81, 26.82 - сбор, очистку и распределение воды, см. 41.00 - разведку полезных ископаемых, см. 74.20.2|85||
Подраздел CA|-||ДОБЫЧА ТОПЛИВНО - ЭНЕРГЕТИЧЕСКИХ ПОЛЕЗНЫХ ИСКОПАЕМЫХ|86|РАЗДЕЛ C|85
10|-|31|Добыча каменного угля, бурого угля и торфа|87|РАЗДЕЛ Q|1874
10.1|-|31|Добыча, обогащение и агломерация каменного угля|88|10|87
10.10|-|31|Добыча, обогащение и агломерация каменного угля|89|10.1|88
10.10.1|-|31|Добыча каменного угля|90|10.10|89
10.10.11|-|31|Добыча каменного угля открытым способом|91|10.10|89
10.10.12|-|31|Добыча каменного угля подземным способом|92|10.10|89
10.10.2|-|31|Обогащение и агломерация каменного угля|93|10.10|89
10.10.21|Эта группировка включает: - подготовку каменного угля к обогащению (дробление, классификацию, грохочение, измельчение) и обогащение каменного угля различными способами - извлечение каменного угля из отвалов|31|Обогащение каменного угля|94|10.10|89
10.10.22|Эта группировка включает: - агломерацию каменного угля и производство брикетов и других видов твердого топлива, состоящих преимущественно из каменного угля Эта группировка не включает: - производство твердого топлива в коксовых печах, см. 23.10|31|Агломерация каменного угля|95|10.10|89
10.2|-|31|Добыча, обогащение и агломерация бурого угля|96|10|87
10.20|-|31|Добыча, обогащение и агломерация бурого угля|97|10.2|96
10.20.1|-|31|Добыча бурого угля (лигнита)|98|10.20|97
10.20.11|-|31|Добыча бурого угля открытым способом|99|10.20|97
10.20.12|-|31|Добыча бурого угля подземным способом|100|10.20|97
10.20.2|-|31|Обогащение и агломерация бурого угля|101|10.20|97
10.20.21|Эта группировка включает: - подготовку бурого угля к обогащению (дробление, классификацию, грохочение, измельчение) и обогащение бурого угля различными способами - извлечение бурого угля из отвалов|31|Обогащение бурого угля|102|10.20|97
10.20.22|Эта группировка включает: - агломерацию бурого угля и производство брикетов из бурого угля Эта группировка не включает: - производство твердого топлива в коксовых печах, см. 23.10|31|Агломерация бурого угля|103|10.20|97
10.3|-|31|Добыча и агломерация торфа|104|10|87
10.30|-|31|Добыча и агломерация торфа|105|10.3|104
10.30.1|Эта группировка включает: - добычу торфа - добычу болотной и торфяной земли|31|Добыча торфа|106|10.30|105
10.30.2|Эта группировка включает: - агломерацию торфа и производство торфяных брикетов и полубрикетов Эта группировка не включает: - производство изделий из торфа, см. 26.82.6|31|Агломерация торфа|107|10.30|105
11|-||Добыча сырой нефти и природного газа; предоставление услуг в этих областях|108|РАЗДЕЛ Q|1874
11.1|-||Добыча сырой нефти и природного газа|109|11|108
11.10|-||Добыча сырой нефти и природного газа|110|11.1|109
11.10.1|-|24|Добыча сырой нефти и нефтяного (попутного) газа; извлечение фракций из нефтяного (попутного) газа|111|11.10|110
11.10.11|Эта группировка включает: - добычу сырой нефти - декантацию, обезвоживание, обессоливание нефти - добычу нефтяного (попутного) газа Эта группировка не включает: - предоставление услуг по добыче нефти, см. 11.20 - производство нефтепродуктов, см. 23.20 - эксплуатацию трубопроводов, кроме внутрипромысловых, см. 60.30 - разведку нефтяных месторождений, см. 74.20.2||Добыча сырой нефти и нефтяного (попутного) газа|112|11.10|110
11.10.12|-|20|Разделение и извлечение фракций из нефтяного (попутного) газа|113|11.10|110
11.10.13|Эта группировка включает: - добычу горючих (битуминозных) сланцев битуминозного песка и озокерита - производство сырой нефти из горючих (битуминозных) сланцев и озокерита|26|Добыча горючих (битуминозных) сланцев, битуминозного песка и озокерита|114|11.10|110
11.10.2|Эта группировка включает: - добычу, обезвоживание и сепарацию фракций жидких углеводородов и производство сырого газообразного углеводорода (природного газа) - извлечение метана, этана, бутана и пропана на месте добычи - десульфурацию газа - добычу газового конденсата Эта группировка также включает: - извлечение гелия и сероводорода Эта группировка не включает: - предоставление услуг по добыче газа, см. 11.20 - эксплуатацию трубопроводов, см. 60.30 - разведку газовых месторождений, см. 74.20.2|22|Добыча природного газа и газового конденсата|115|11.10|110
