name,meaning,gender,origin
Actassi,share the sea,M,Chamoru
Acteon,myth name (a hunter torn apart by his own dogs),M,Greek
Acwel,Kills,M,Anglo-Saxon
Acwellen,kills,M,Anglo
Acwellen,Kills,M,Anglo-Saxon
Ada,&quot;Noble.&quot;Some variants include Ad, Adda, Addie, and Adie.,F,German
Ada,happy ADABEL, ADBELLE,F,Teutonic
Ada,Ibo of Nigeria name for firstborn females.,F,African
Ada,Joyful,F,German
Ada,Ornament.,F,Hebrew
Ada,Wealthy,F,English
A'dab,hope; need,F,Arabic
Adah,&quot;Ornamented; decorated.&quot;,F,Hebrew
Adah,Beautiful. Ornament.,F,Hebrew
Adahy,Cherokee name meaning &quot; lives in the woods.&quot;,M,Native
Adahy,Lives in the woods (Cherokee),M,Native American
Adair,From the ford by the oak trees,M,Celtic
Adair,From the oak tree ford,M,Scottish
Adair,From the oak tree ford.,F,Scottish
Adair,from the oak-tree ford,M,Gaelic
Adaira,From the oak tree ford,F,Scottish
Adairia,From the oak tree ford,F,Scottish
Adal,Noble,M,German
Adal,Sweet or noble,F,German
Adalard,Brave,M,German
Adalbeorht,Noble,F,English
Adalbert,Intelligent or noble,M,German
Adalbrechta,Noble,F,English
Adalene,Variant of Adela.,F,French
Adalgar,Noble spearman,M,German
Adalgisa,Italian name of Germanic origin, meaning &quot;noble pledge&quot; or &quot;noble hostage.&quot;,F,Italian
Adalhard,Brave,M,German
Adalheida,Sweet or noble,F,German
Adali,Noble,F,German
Adalia,&quot;God is my refuge.&quot;Also an Old German name meaning &quot;noble one.&quot;Some variants include Adal, Adalee, Adalie, Adalley, and Addala.,F,Hebrew
Adalia,&quot;Noble one.&quot;Also a Hebrew name meaning &quot;God is my refuge.&quot;Some variants include Adal, Adalee, Adalie, Adalley, and Addala.,F,German
Adalia,Noble,F,German
Adalia,Of the nobility. Noble.,F,Spanish
Adalicia,Of the nobility. Noble.,F,French
Adalicia,Of the nobility. Noble.,F,German
Adalie,Noble,F,German
Adalie,Of the nobility. Noble.,F,French
Adaliz,Of the nobility. Noble.,F,French
Adaliz,Of the nobility. Noble.,F,German
Adalric,Noble friend,M,German
Adalrik,Noble friend,M,German
Adalson,Son of All,M,English
Adalwen,Noble friend,M,German
Adalwin,Noble friend,M,German
Adalwine,noble friend,M,German
Adalwolf,Noble wolf,M,German
Adalwolfa,Noble she wolf,F,German
Adalyn,Variant of Adela.,F,French
Adam,&quot;Of the red earth.&quot;,M,Hebrew
Adam,From the red earth. In the biblical Genesis account man was created from the red earth of Eden.,M,Hebrew
Adam,Of the red earth,M,English
Adama,Ibo of Nigeria female name meaning &quot;beautiful child&quot; or &quot;queenly.&quot;,F,African
Adamina,Feminine form of Adam, &quot;of the red earth.&quot;Some variants are Adamine, Adaminna, Addie, Mina, and Minna.,F,Hebrew
Adamnan,Little Adam,M,Irish
Adamnan,name of an abbot,M,Anglo
Adamnan,Name of an abbot,M,Anglo-Saxon
Adamson,Son of Adam,M,English
Adamson,Son of Adam,M,Hebrew
Adan,Little fire,F,Irish
Adan,Variation of Adam From the red earth.,M,Spanish
Adan,Yoruba of Nigeria name meaning &quot;a large bat.&quot;Also, the Spanish equivalent of Adam.,M,African
Adana,Spanish feminine of Adam.,F,Spanish
Adanech,Amharic and Tigrinya of Ethiopia female name meaning &quot;she has rescued them.&quot;,F,African
Adanna,Ibo of Nigeria female name meaning &quot;father's daughter.&quot;,F,African
Adar,Fire,F,Hebrew
Adar,Noble,M,Hebrew
Adara,&quot;Beauty.&quot;Also an Arabic name meaning &quot;virgin,&quot; and a Hebrew name meaning &quot;fire.&quot; Variants, Adar and Adra, exist.,F,Greek
Adara,&quot;Fire.&quot;Also an Greek name meaning &quot;beauty,&quot; and a Arabic name meaning &quot;virgin.&quot; Variants, Adar and Adra, exist.,F,Hebrew
Adara,&quot;Virgin.&quot;Also an Greek name meaning &quot;beauty,&quot; and a Hebrew name meaning &quot;fire.&quot; Variants, Adar and Adra, exist.,F,Arabic
Adara,Fire,F,Hebrew
Adara,From the ford at the oak tree,F,Irish
Adara,Virgin,F,Arabic
Adare,From the ford of the oak tree,M,Irish
Adda,Wealthy,F,English
Addam,Variation of Adam . From the red earth.,M,Hebrew
Addaneye,Lives on the noble's island,M,English
Addergoole,From between two fords,M,Irish
Addie,Variant of Adela.,F,French
Addilynn,,F,Unknown
Addis,Son of Adam,M,English
Addisen,child of Adam,M,Unknown
Addisen,Strong woman. Variant of Addison.,F,Unknown
Addison,Son of Adam.,M,English
Addney,Lives on the noble's island,M,English
Addo,Ghana name meaning &quot;king of the road.&quot;,M,African
Addula,&quot;Noble cheer.&quot; ADELA, ADEL, ADELINE, ADELINA, ADALINE, ADALINA, ADELICIA, ADALIA, ADALIE, ADAL,F,Teutonic
Addy,Ardent,M,English
Addyson,Awesome,F,English
Ade,&quot;Royal one.&quot;,M,African
Ade,a mistress of Lancelot,F,Arthurian
Ade,A mistress of Lancelot,F,Arthurian Legend
Adeben,born twelfth,M,Egyptian
Adeela,similar; equal,F,Arabic
Adeen,Little fire,F,Irish
Adel,just,M,Arabic
Adel,Noble,M,German
Adela,Good humor,F,French
Adela,Pleasant: Of the nobility. Noble.,F,German
Adelaide,&quot;Noble.&quot;Some variants are Ada, Adela, Adele, and Adeline.,F,German
Adelaide,Of the nobility. Noble.,F,French
Adelaide,Sweet or noble,F,German
Adelajda,Polish form of Adelaide (noble) ALBINKA,F,Polish
Adelbert,bright, noble,M,Hungarian
Adelbert,Intelligent or noble,M,German
Adele,&quot;Nobility.&quot;Also French name meaning &quot;pleasant; good humor.&quot;Variants include Adele (with accent), Adelia, Adella and Adelle.,F,German
Adele,&quot;Pleasant; good humor.&quot; Also Old German name meaning &quot;nobility.&quot;Variants include Adele (with accent), Adelia, Adella and Adelle.,F,French
Adele,Good humor: Of the nobility. Noble.,F,French
Adele,Pleasant,F,German
Adelhard,Resolute,M,German
Adelheid,Sweet or noble,F,German
Adelheide,Sweet or noble,F,German
Adelia,Of the nobility. Noble.,F,French
Adelina,Noble or kind or winged,F,Spanish
Adelina,noble, kind,F,Spanish
Adelina,Of the nobility. Noble. Variant of Adela.,F,French
Adelina,Sweet or noble,F,German
Adelinda,&quot;Noble; sweet.&quot;A compound name consisting of Adele, &quot;nobility,&quot; and Linda, &quot;pretty.&quot;,F,Teutonic
Adelinda,Sweet or noble,F,German
Adeline,&quot;Woman of noble estate.&quot; Some variants and diminutives are Adaline, Adelind, Adella, Addi, Addy, Aline, Dahlina, Daline, Delina, Delly, Delyne, Edelie, and Lina.,F,German
Adeline,Sweet: of the nobility. Noble.,F,German
Adeline,Variant of Adela.,F,French
Adelisa,Of the nobility. Noble.,F,French
Adelisa,Of the nobility. Noble.,F,German
Adelise,Forerunner of Alice Of the nobility. Noble.,F,French
Adelita,Kind or winged: Of the nobility. Noble.,F,Spanish
Adelita,Sweet or noble,F,German
Adella,Of the nobility. Noble.,F,Spanish
Adelle,Of the nobility. Noble.,F,French
Adelle,Sweet or noble,F,German
Adelpha,&quot;Dear sister.&quot;Variants include Adelphe and Adelphie.,F,Greek
Adelynn,Variant of Adela.,F,French
Adelyte,Has good humor,F,German
Adem,earth,M,Turkish
Aden,Variant of Aiden.,M,Unknown
Adena,&quot;Decoration.&quot;Variants include Adene, Adina, and Adine.,F,Hebrew
Adena,Tender,F,Hebrew
Adene,Tender,F,Hebrew
Adenne,Firey or fire. Variant of Aden and Aiden.,F,Unknown
Adeola,rainbow,M,Unknown
Adeola,Yoruba of Nigeria female name meaning &quot;crown of honor.&quot;,F,African
Aderet,Crown,M,Hebrew
Aderrig,From the red ford,M,Irish
Adetoun,Yoruba of Nigeria female name meaning &quot;princess.&quot;,F,African
Adette,Sweet or noble,F,German
Adham,black,M,Arabic
Adhamh,Gaelic form of Adam (man of the red earth),M,Gaelic
Adhamh,Of the earth,M,Irish
Adhamh,Of the earth,M,Scottish
Adharma,lawless,M,Indian
Adhiambo,Luo of Kenya name for females born after sunset.,F,African
Adi,myth name (a form of Vasishtha),M,Indian
Adi,myth name?,M,Romanian
Adia,Wealthy,F,English
Adianna,Unknown,F,Unknown
Adib,polite,M,Arabian
Adiba,&quot;Cultured; refined; polite.&quot; Variant, Adibah, exists.,F,Arabic
Adiba,Polite,F,Arabic
Adibe,&quot;Polite.&quot; AL-HADIYE,F,Arabian
Adiella,&quot;The Lord's decoration.&quot;,F,Hebrew
Adil,Judicious,M,Arabic
Adila,Similar,F,Arabic
Adila,similar; equal,F,Arabic
Adilah,similar; equal,F,Arabic
Adilene,Variant of Adela.,F,French
Adima,&quot;Noble; renowned.&quot; ADOLPHINA, ADOLPHINE,F,Teutonic
Adin,&quot;Slender and delicate.&quot; Variants include Adina and Adeana.,F,Hebrew
Adin,delicate,M,Hebrew
Adin,Pleasure given. Adin was a biblical exile who returned to Israel from Babylon.,M,Hebrew
Adina,Amharic of Ethiopia word sometimes used as a female name, meaning &quot;she has saved.&quot;,F,African
Adina,Slender.,F,Hebrew
Adinah,Slender.,F,Hebrew
Adinam,&quot;Tender.&quot;,F,Hebrew
Adinam,Tender,F,Hebrew
Adine,Tender,F,Hebrew
Adio,righteous,M,Egyptian
Adir,Noble,M,Hebrew
Adira,&quot;Noble; powerful.&quot;,F,Hebrew
Adira,Strong.,F,Arabic
Adiran,from the Adriatic,M,Basque
Adisa,Ashanti of Ghana name meaning &quot;one who will teach us.&quot;,M,African
Aditi,free,F,Indian
Aditi,free AHISMA,F,Hindi
Aditya,Lord of the Sun,M,Indian
Aditya,sun,M,Indian
Aditya,Sun: The First. Lord of the sun.,F,Indian
Aditya,The first.,M,Indonesia
Adiv,Delicate,M,Hebrew
Adiva,&quot;Gentle and agreeable.&quot;,F,Arabic
Adiva,Gentle,F,Arabic
Adjatay,Cameroon name meaning &quot;prince.&quot;,M,African
Adjoa,Akan of Ghana names for females born on Monday; peace.,F,African
Adken,Oaken,M,English
Adkins,son of Aiken,M,English
Adkyn,Oaken,M,English
Adlai,From Hebrew. &quot;Just.&quot; More common as a man's name.,F,Arabic
Adlai,witness,M,Hebrew
Adlar,eagle,M,German
Adler,An eagle.,M,German
Adley,Judicious,M,Hebrew
Admeta,myth name (from a tale of Hercules),F,Greek
Admetus,myth name (a king of Pherae),M,Greek
Admina,Of the red earth,F,Hebrew
Adnan,meaning unknown,M,Arabic
Adnan,Pleasure.,M,Arabic
Adne,Eagle,M,German
Adney,lives on the noble's island,M,English
Adniel,Of God's flock,M,Hebrew
Adny,Lives on the noble's island,M,English
Adoette,large tree,F,Native
Adoette,Large tree,F,Native American
Adofo,Akan of Ghana name meaning &quot;one who loves.&quot;,M,African
Adofo,fighter,M,Egyptian
Adok,dark ADOLF,M,Polish
Adolf,Noble wolf,M,German
Adolfo,Noble wolf.,M,German
Adolph,Noble wolf,M,German
Adolpha,Feminine form of Adolph. &quot;Noble she-wolf.&quot;,F,German
Adolpha,Noble she wolf,F,German
Adolphus,Noble wolf.,M,German
Adolphus, Adolph, Dolph,noble wolf AKE,M,Swedish
Adom,Akan of Ghana name meaning &quot;help from God&quot; or &quot;God's blessing.&quot;,M,African
Adom,receives help from the gods,M,Egyptian
Adon,The Lord,M,Hebrew
Adoncia,&quot;Sweet.&quot; Diminutive Doncia exists. ADORACION,F,Spanish
Adonia,Beautiful lady. Feminine of Adonis.,F,Spanish
Adonia,feminine form of Adonis (lover of Aphrodite),F,Greek
Adonis,God of peace and love.,M,African
Adonis,myth name (lover of Aphrodite),M,Greek
Adora,Chamoru Spanish, &quot;adore.&quot;,F,Chamoru
Adoracion,Adoration,F,Spanish
Adorjan,Hungarian form of Adrian (from the Adriatic),M,Hungarian
Adorlee,&quot;Adored.&quot;,F,French
Adorlee,Adored,F,French
Adowa,noble.,F,African
Adra,&quot;Virgin.&quot; See Adara.,F,Arabic
Adrastus,myth name (one of the attackers in &quot;The Seven Against Thebes&quot;),M,Greek
Adreanna,From Adria the Adriatic sea region. Also means dark.,F,French
Adri,rock AGNI,M,Hindi
Adriaan,Variant of Adrian. From Adria.,M,Dutch
Adrial,,M,Greek
Adrian,A name used for the nobility class of the Betsileo people of central Madagascar.,M,African
Adrian,dark,F,German
Adrian,dark AGDA, AGATA, AGATON, AGNETA,F,Swedish
Adrian,dark; from Adria,M,Romanian
Adrian,From Adria.: (Adriatic sea region.),M,English
Adriana,dark,F,Italian
Adriana,Dark,F,Spanish
Adriana,dark; from Adria,F,Romanian
Adriane,Dark,F,German
Adriane,From Adria the Adriatic sea region. Also means dark.,F,French
